,A3,A4,A5,A6,A7,A8,A9
0,0.015572367410448212,-0.06564510704768739,0.021621416570773235,0.009370695407431654,-0.2219812316739452,0.025023515448289027,-0.051524720176160395
1,-0.19714169991226757,0.047268075193712095,-0.16856877733978068,0.12354050268521716,0.09413731586113813,0.371497451606862,0.0029437469761351156
2,0.08963745711267951,-0.293148894459423,0.010797479679477025,0.10165163213680393,0.07271406000218217,-0.4587854329059387,0.14772202412966948
3,-0.001710598505958596,-0.03645638946430123,0.13035707294030435,-0.0270888726197688,0.08511498101061526,-0.0434853328292564,0.006367824386504575
4,-0.02633601659245102,-0.09567594652267603,-0.13753602726761008,0.11953718654474213,0.039271066847450235,0.003523084312297239,0.20604241269663176
5,0.14939899408782142,-0.1074981547844561,-0.17518662020243472,0.13122407797122548,0.04689914528843232,-0.03017476603244542,0.08290727844356893
6,0.16355616125624511,0.16522631719162345,0.07906320879437675,-0.14779258076300833,-0.23529408757798145,0.011057494628780137,0.008343412490799562
7,-0.31564207139078027,-0.27196109937214374,-0.16167995031837173,-0.06972524617049916,0.008015418259811056,0.0062989186378564896,-0.0005807876073316592
8,0.007433385573002776,-0.044357528335189134,0.0050321892745560344,0.012947940343926526,0.09312500126847954,-0.20303946181521199,-0.06375260340407186
9,0.03518001393987302,0.016053910673383454,-0.07069487098743849,-0.052000961684602526,-0.04977797693628021,0.007495833295028814,0.03900663887823017
