,A3,A4,A5,A6,A7,A8,A9
0,0.015572391922156323,-0.06564514972172376,0.02162140994924629,0.009370704232961742,-0.22198114176348718,0.025023524777195535,-0.05152459633819446
1,-0.1997181993951083,0.047299778759199565,-0.16868008443041013,0.12373394791628578,0.0939785985779376,0.36999077961754756,0.003023466626450844
2,0.08963928048580576,-0.293142765718153,0.01079664002013402,0.10165148102997883,0.07271344987834383,-0.45884155897821643,0.14774144048078813
3,-0.001710580551321817,-0.036441212817791696,0.13035895420579074,-0.02709153530727771,0.08511399955974755,-0.043487206434202764,0.006362801452070853
4,-0.026335580329667107,-0.09561842615687205,-0.13748263195347962,0.11951611067072933,0.039236838181173225,0.0034848795877899775,0.2064317737084716
5,0.14983052521582507,-0.10738146428229144,-0.1751195955632939,0.1312465912089313,0.046472470041058776,-0.03017603819212635,0.08290462278754387
6,0.1635561667361019,0.1652263020411021,0.0790632697339959,-0.14779258539403387,-0.23529335123661735,0.011056905479190861,0.008344430621233705
7,-0.3156322121983558,-0.27186229189674216,-0.1614889765841977,-0.06971494317135614,0.007973152151646998,0.006272871837955595,-0.0005814337907772804
8,0.007433659706415546,-0.04429613279750491,0.004894532050247161,0.013037767170158442,0.09335146967012624,-0.20244067696804144,-0.06448004344885894
9,0.03523755998163139,0.01604099751841566,-0.07070109033888784,-0.052109700853041584,-0.04975173241062242,0.007499838227961213,0.038827680084408366
