bin,afb,fl from ctl,fl from ctk,s3,s4,s5,s7,s8,s9
0,-0.098891765,0.29268757,0.254629177,-0.025674512,0.059388799,0.115274836,0.032024011,-0.003087703,-0.013592238
1,-0.186995989,0.651537118,0.693983644,-0.015470139,0.017185491,0.066123785,0.01158128,-0.000162547,0.056525376
2,-0.096389899,0.738648247,0.770968506,-0.048302207,-0.03830464,-0.041759628,0.005660172,-0.003379594,0.071393968
3,0.071795487,0.721437332,0.722500275,-0.07937894,-0.062149794,-0.08690262,-0.002216384,-0.007923354,0.091628876
4,0.215060013,0.650667656,0.632273524,-0.055071916,-0.094745004,-0.126346421,0.002372144,0.002664276,0.047256836
5,0.382955479,0.299438541,0.336551247,-0.17417414,-0.168828427,-0.128212159,0.022541243,0.002091389,0.020730365
6,0.331968971,0.239360753,0.277841222,-0.215610737,-0.186650675,-0.102141257,0.017494889,0.006388313,0.031841468
